symbol,company_name,industry,annualized_return_percent,volatility_percent,max_drawdown_percent,downside_volatility_percent,historical_var_95_percent,historical_cvar_95_percent,risk_adjusted_return,liquidity_score,risk_score,risk_bucket
SBIN,State Bank of India,FINANCIAL SERVICES,6.90224284507881,29.92986913130707,-80.25597615983074,18.24506362470467,3.206128962439313,3.9132984083289224,0.23061386652903756,97.95918367346938,68.36734693877551,High
BPCL,Bharat Petroleum Corporation Ltd.,ENERGY,8.759064112345394,32.475586631587575,-61.61100136387988,19.33487652470445,3.34374186833203,4.1428776714085425,0.26971226760922734,40.816326530612244,67.34693877551021,Medium
HCLTECH,HCL Technologies Ltd.,IT,16.037108393395762,31.289156449566157,-61.244951098142984,19.35085164484566,3.27410857526313,4.09810786552327,0.5125452461220994,42.85714285714286,65.3061224489796,Medium
MM,Mahindra & Mahindra Ltd.,AUTOMOBILE,15.414754467851033,29.66813908519976,-67.37587969007808,17.929833078194388,3.1328561366193988,3.849124818733502,0.5195726777329568,40.816326530612244,59.69387755102041,Medium
SHREECEM,Shree Cement Ltd.,CEMENT & CEMENT PRODUCTS,11.991544630884343,29.628247225737926,-72.16756004602551,17.87527169588142,3.095112727200745,3.8166200629480307,0.4047335145923631,2.0408163265306123,59.183673469387756,Medium
TECHM,Tech Mahindra Ltd.,IT,4.158683617357228,27.166187387777775,-81.18312962417306,16.884174228814107,2.9021694324495244,3.638624824477401,0.1530830792703817,46.93877551020408,58.6734693877551,Medium
ONGC,Oil & Natural Gas Corporation Ltd.,ENERGY,0.9696244198602377,27.670510719503916,-84.42411943091679,16.71307118805223,2.895961080284911,3.6000748723848557,0.03504179701232567,64.28571428571428,58.67346938775509,Medium
IOC,Indian Oil Corporation Ltd.,ENERGY,-3.314747092539183,27.21089078677749,-78.48990040401236,16.71837290225821,2.8861168600962475,3.5591926165378873,-0.12181692685157916,39.795918367346935,55.61224489795919,Medium
HEROMOTOCO,Hero MotoCorp Ltd.,AUTOMOBILE,1.817475702141591,27.255714672643393,-63.988455481819365,16.78432886699367,2.8520229593769812,3.6110090491110745,0.0666823718978022,24.489795918367346,50.0,Medium
BAJAJFINSV,Bajaj Finserv Ltd.,FINANCIAL SERVICES,9.745049355621195,27.677510297324513,-64.41201515345587,16.436746257010572,2.8122746573971673,3.486537070285791,0.35209270093066186,21.42857142857143,47.95918367346938,Medium
INFY,Infosys Ltd.,IT,11.830975186719073,26.634451081177318,-70.3480745525297,16.747514341527232,2.7426559536385877,3.57474609427407,0.4441981984408184,78.57142857142857,45.91836734693877,Medium
LT,Larsen & Toubro Ltd.,CONSTRUCTION,4.3866509712675805,26.306587916532465,-72.85804157917408,15.749135277797253,2.782373476647253,3.4083238324588123,0.16675104293973353,65.3061224489796,43.36734693877551,Medium
GAIL,GAIL (India) Ltd.,ENERGY,4.5000406741031895,27.1503103578185,-61.001592649209414,16.219330371118794,2.793823702290267,3.459982591944282,0.1657454598049303,41.836734693877546,41.3265306122449,Medium
WIPRO,Wipro Ltd.,IT,5.479306761720348,26.58738147057861,-56.31292388211126,16.512569234261516,2.84211578370511,3.511976576580142,0.20608673959801974,47.95918367346938,40.30612244897959,Medium
